seed,metric,seq1_threshold,num_sequences_with_pdb,total_sequences_in_fasta,missing_pdb,num_above_seq1
seed1,total_mean_pLDDT,62.84366449511401,1837,2078,241,1597
seed1,WED-I_mean_pLDDT,26.682,1837,2078,241,795
seed1,REC-I_mean_pLDDT,49.07221428571429,1837,2078,241,1750
seed1,REC-II_mean_pLDDT,72.44836538461537,1837,2078,241,1662
seed1,WED-II_mean_pLDDT,54.01101449275362,1837,2078,241,1482
seed1,PI_mean_pLDDT,81.18708333333333,1837,2078,241,974
seed1,WED-III_mean_pLDDT,52.55992307692309,1837,2078,241,570
seed1,RUV-I/BH_mean_pLDDT,72.84349999999999,1837,2078,241,1709
seed1,RuvC-II_mean_pLDDT,57.76475409836066,1837,2078,241,1779
seed1,NUC_mean_pLDDT,82.83266129032256,1837,2078,241,1320
seed1,RuvC-III_mean_pLDDT,65.91436170212766,1837,2078,241,1627
seed4,total_mean_pLDDT,62.84366449511401,1812,19041,17229,1812
seed4,WED-I_mean_pLDDT,26.682,1812,19041,17229,1256
seed4,REC-I_mean_pLDDT,49.07221428571429,1812,19041,17229,1812
seed4,REC-II_mean_pLDDT,72.44836538461537,1812,19041,17229,1812
seed4,WED-II_mean_pLDDT,54.01101449275362,1812,19041,17229,1812
seed4,PI_mean_pLDDT,81.18708333333333,1812,19041,17229,1812
seed4,WED-III_mean_pLDDT,52.55992307692309,1812,19041,17229,1812
seed4,RUV-I/BH_mean_pLDDT,72.84349999999999,1812,19041,17229,1812
seed4,RuvC-II_mean_pLDDT,57.76475409836066,1812,19041,17229,1812
seed4,NUC_mean_pLDDT,82.83266129032256,1812,19041,17229,1812
seed4,RuvC-III_mean_pLDDT,65.91436170212766,1812,19041,17229,1812
